nom,categorie,prix_eur,volume_L,degre_pct,ratio,image,url
"Bière Brasserie du Mont Blanc La Verte au Génépi, 75cl - Verte - 5,9% vol.",bières,5.36,0.75,5.9,121.13,https://media.e.leclerc/3760023241121_1,https://www.e.leclerc/pro/biere-brasserie-du-mont-blanc-la-verte-au-genepi-75cl-verte-5-9-vol
"Bière Brasserie du Mont Blanc La Blanche, 75cl - Blanche - 4,7% vol.",bières,,0.75,4.7,,https://media.e.leclerc/3760023241091_1,https://www.e.leclerc/pro/biere-brasserie-du-mont-blanc-la-blanche-75cl-blanche-4-7-vol
"Bière Triple Karmeliet, 75cl - Blonde - 8,4% vol.",bières,4.67,0.75,8.4,74.13,https://media.e.leclerc/5410693100553_1,https://www.e.leclerc/pro/biere-triple-karmeliet-75cl-blonde-8-4-vol
"Bière Brasserie du Mont Blanc La Blonde, 75cl - Blonde - 5,8% vol.",bières,4.38,0.75,5.8,100.69,https://media.e.leclerc/3760023241039_1,https://www.e.leclerc/pro/biere-brasserie-du-mont-blanc-la-blonde-75cl-blonde-5-8-vol
Vedett Extra IPA 33CL,bières,1.59,0.33,7.0,68.83,https://fgellaobb.filerobot.com/5411681401775_1,https://www.e.leclerc/pro/vedett-extra-ipa-33cl
"Bière La ""G"" de Goudale Grand Cru Rhum Finish, 75cl - Blonde - 7,9% vol.",bières,4.3,0.75,7.9,72.57,https://media.e.leclerc/3261570006329_1,https://www.e.leclerc/pro/biere-la-g-de-goudale-grand-cru-rhum-finish-75cl-blonde-7-9-vol
"Bière La ""G"" de Goudale, 75cl - Blonde - 7,9% vol.",bières,4.0,0.75,7.9,67.51,https://media.e.leclerc/3261570003458_1,https://www.e.leclerc/pro/biere-la-g-de-goudale-75cl-blonde-7-9-vol
"Bière Duvel Triple Hop Citra, 75cl - Blonde - 9,5% vol.",bières,,0.75,7.0,,https://media.e.leclerc/5411681405186_1,https://www.e.leclerc/pro/biere-duvel-triple-hop-citra-75cl-blonde-9-5-vol
"Bière Duvel, 75cl - Blonde - 8,5% vol.",bières,4.23,0.75,7.0,80.57,https://media.e.leclerc/5411681402635_1,https://www.e.leclerc/pro/biere-duvel-75cl-blonde-8-5-vol
"Bière Chouffe Cherry, 75cl - Rouge - 8% vol.",bières,4.81,0.75,8.0,80.17,https://media.e.leclerc/5410769800554_1,https://www.e.leclerc/pro/biere-chouffe-cherry-75cl-rouge-8-vol
"Bière Brasserie du Mont Blanc La Rousse, 75cl - Ambrée - 6,5% vol.",bières,4.9,0.75,6.5,100.51,https://media.e.leclerc/3760023241107_1,https://www.e.leclerc/pro/biere-brasserie-du-mont-blanc-la-rousse-75cl-ambree-6-5-vol
"Bière Kaasteel, 75cl - Rouge - 8% vol.",bières,5.13,0.75,8.0,85.5,https://fgellaobb.filerobot.com/5411081003661_1,https://www.e.leclerc/pro/biere-kaasteel-75cl-rouge-8-vol
"Bière Rince Cochon, 75cl - Blonde - 8,5% vol.",bières,3.42,0.75,8.5,53.65,https://media.e.leclerc/3291820009213_1,https://www.e.leclerc/pro/biere-rince-cochon-75cl-blonde-8-5-vol
"Bière Kwak, 75cl - Blonde - 7,4% vol.",bières,,0.75,7.4,,https://media.e.leclerc/5410228291336_1,https://www.e.leclerc/pro/biere-kwak-75cl-blonde-7-4-vol
"Bière Castelain Grand Cru, 75cl - Blonde - 8,5% vol.",bières,4.24,0.75,7.0,80.76,https://media.e.leclerc/3272460123118_1,https://www.e.leclerc/pro/biere-castelain-grand-cru-75cl-blonde-8-5-vol
"Bière Kwak, 75cl - Ambrée - 8,4% vol.",bières,4.83,0.75,8.4,76.67,https://media.e.leclerc/5410228285182_1,https://www.e.leclerc/pro/biere-kwak-75cl-ambree-8-4-vol
"Bière Corbeau, 75cl - Blonde - 9% vol.",bières,4.02,0.75,9.0,59.56,https://media.e.leclerc/3291820013036_1,https://www.e.leclerc/pro/biere-corbeau-75cl-blonde-9-vol
"Bière Kwak, 75cl - Rouge - 8% vol.",bières,,0.75,8.0,,https://media.e.leclerc/5410228291206_1,https://www.e.leclerc/pro/biere-kwak-75cl-rouge-8-vol
"La Vieille Eglise, 2021 - Côtes du Marmandais AOP - Rouge - 75 cl",vins-rouges,,0.75,12.5,,https://media.e.leclerc/3468000013982_1,https://www.e.leclerc/pro/la-vieille-eglise-2021-cotes-du-marmandais-aop-rouge-75-cl
"Mouton Cadet, 2023 - Bordeaux AOP - Rouge - 75 cl",vins-rouges,8.93,0.75,13.5,88.2,https://media.e.leclerc/3262151637758_1,https://www.e.leclerc/pro/mouton-cadet-2023-bordeaux-aop-rouge-75-cl
"Dourthe La Grande Cuvée, 2022 - Bordeaux AOP - Rouge - 75 cl",vins-rouges,6.98,0.75,14.5,64.18,https://fgellaobb.filerobot.com/3258691331560_1,https://www.e.leclerc/pro/dourthe-la-grande-cuvee-2022-bordeaux-aop-rouge-75-cl
"L'Orangerie de Rahoul, 2022 - Graves AOP - Rouge - 75 cl",vins-rouges,8.52,0.75,,,https://fgellaobb.filerobot.com/3258691599205_1,https://www.e.leclerc/pro/l-orangerie-de-rahoul-2022-graves-aop-rouge-75-cl
"La Rougeante, 2024 - Corbières AOP - Rouge - 75 cl",vins-rouges,4.95,0.75,,,https://media.e.leclerc/3760102321805_1,https://www.e.leclerc/pro/la-rougeante-2024-corbieres-aop-rouge-75-cl
"CHATEAU DE RUTH, 2024 - Côtes du Rhône AOP - Rouge - 75 cl",vins-rouges,4.7,0.75,,,https://media.e.leclerc/3760130254052_1,https://www.e.leclerc/pro/chateau-de-ruth-2024-cotes-du-rhone-aop-rouge-75-cl
"Château Cantelaudette Cuvée Prestige, 2022 - Graves de vayres AOP - Rouge - 75 cl",vins-rouges,8.5,0.75,14.5,78.16,https://media.e.leclerc/3397254990117_1,https://www.e.leclerc/pro/chateau-cantelaudette-cuvee-prestige-2022-graves-de-vayres-aop-rouge-75-cl
